,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,positive_rate,stringency_index,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_raw,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_per_million,new_people_vaccinated,new_people_vaccinated_per_hundred,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_per_thousand_smoothed,tests_per_case
0,2020-02-26,1.000,1.000,,,,,0.096,0.096,,,,,,,,,,,11.110,,,,,,,,,,,,,,,,,,,,,
1,2020-02-27,3.000,2.000,,,,,0.288,0.192,,,,,,,,,,,11.110,,,,,,,,,,,,,,,,,,,,,
2,2020-02-28,4.000,1.000,,,,,0.384,0.096,,,,,,,,,,,11.110,,,,,,,,,,,,,,,,,,,,,
3,2020-02-29,4.000,0.000,,,,,0.384,0.000,,,,,,,,,,,19.440,,,,,,,,,,,,,,,,,,,,,
4,2020-03-01,7.000,3.000,,,,,0.672,0.288,,,,,,0.000,0.000,10.697,1.026,,19.440,,,,,,,,,,,,,,,,,,,,,
5,2020-03-02,7.000,0.000,,,,,0.672,0.000,,,,,,,,,,,19.440,,,,,,,,,,,,,,,,,,,,,
6,2020-03-03,7.000,0.000,1.000,,,,0.672,0.000,0.096,,,,,,,,,,19.440,,,,,,,,,,,,,,,,,,,,,
7,2020-03-04,9.000,2.000,1.143,,,,0.863,0.192,0.110,,,,,,,,,,19.440,,,,,,,,,,,,,,,,,,,,,
8,2020-03-05,31.000,22.000,4.000,,,,2.974,2.111,0.384,,,,,,,,,,28.700,,,,,,,,,,,,,,,,,,,,,
9,2020-03-06,45.000,14.000,5.857,,,,4.317,1.343,0.562,,,,,,,,,,28.700,,,,,,,,,,,,,,,,,,,,,
10,2020-03-07,46.000,1.000,6.000,,,,4.413,0.096,0.576,,,,,,,,,,28.700,,,,,,,,,,,,,,,,,,,,,
11,2020-03-08,73.000,27.000,9.429,,,,7.004,2.590,0.905,,,,,1.945,0.187,29.173,2.799,,28.700,,,,,,,,,,,,,,,,,,,,,
12,2020-03-09,73.000,0.000,9.429,,,,7.004,0.000,0.905,,,,,,,,,,31.480,,,,,,,,,,,,,,,,,,,,,
