,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,positive_rate,stringency_index,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_raw,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_per_million,new_people_vaccinated,new_people_vaccinated_per_hundred,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_per_thousand_smoothed,tests_per_case
0,2020-03-01,19.000,7.000,0.000,0.000,0.000,0.000,1.824,0.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.697,1.026,0.000,72.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,2020-03-08,218.000,66.000,27.429,0.000,0.000,0.000,20.915,6.332,2.633,0.000,0.000,0.000,0.000,1.945,0.187,29.173,2.799,0.000,173.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,2020-03-15,1109.000,258.000,127.285,10.000,4.000,0.000,106.400,24.753,12.220,0.960,0.384,0.000,3.040,12.642,1.213,64.180,6.158,0.470,288.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12280.000,1820.000,1.178,0.175,0.000,0.000,80.000
3,2020-03-22,3203.000,293.000,299.141,54.000,11.000,5.713,307.299,28.110,28.718,5.182,1.056,0.550,9.930,41.814,4.012,170.175,16.327,0.546,454.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44528.000,4006.000,4.276,0.386,3613.238,0.347,91.000
4,2020-03-29,6334.000,532.000,447.285,183.000,23.000,18.429,607.692,51.040,42.939,17.557,2.208,1.769,9.400,53.484,5.131,306.316,29.388,0.583,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81696.000,7145.000,7.844,0.686,5309.714,0.510,84.600
5,2020-04-05,10506.000,579.000,596.000,399.000,35.000,30.857,1007.959,55.549,57.216,38.280,3.359,2.963,7.820,38.897,3.732,166.286,15.954,0.524,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,140110.000,10302.000,13.450,0.989,8344.858,0.801,95.800
6,2020-04-12,13632.000,379.000,446.571,613.000,25.000,30.570,1307.871,36.362,42.871,58.812,2.400,2.936,6.090,19.449,1.866,104.050,9.983,0.239,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,235976.000,16808.000,22.654,1.615,13695.143,1.315,221.300
7,2020-04-19,15408.000,121.000,253.715,738.000,15.000,17.857,1478.260,11.609,24.356,70.805,1.440,1.714,5.370,16.531,1.586,56.401,5.411,0.113,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,350601.000,11029.000,33.658,1.060,16374.999,1.571,479.800
8,2020-04-26,17030.000,282.000,231.714,877.000,21.000,19.857,1633.878,27.055,22.244,84.140,2.016,1.906,6.050,9.724,0.933,65.153,6.251,0.161,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,415297.000,11318.000,39.868,1.087,9242.285,0.887,347.700
9,2020-05-03,18125.000,109.000,156.429,980.000,10.000,14.715,1738.933,10.458,15.016,94.024,0.960,1.412,4.900,3.890,0.373,36.952,3.545,0.079,589.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,518017.000,14724.000,49.729,1.415,14674.286,1.407,738.700
